OrderDate,rows_count,total_quantity,total_sales_value
2019-07-01,9,9,30681.57
2019-07-02,7,7,23942.22
2019-07-03,9,9,31671.28
2019-07-04,6,6,16968.18
2019-07-05,9,9,33983.61
2019-07-06,8,8,30723.71
2019-07-07,9,9,34780.78
2019-07-08,8,8,27587.2
2019-07-09,6,6,22775.1
2019-07-10,12,12,39770.28
2019-07-11,4,4,15458.13
2019-07-12,11,11,41300.59
2019-07-13,8,8,27806.75
2019-07-14,9,9,31286.19
2019-07-15,16,16,51652.82
2019-07-16,10,10,34657.64
2019-07-17,10,10,35535.81
2019-07-18,7,7,23722.67
2019-07-19,11,11,35905.75
2019-07-20,12,12,42879.79
2019-07-21,8,8,27175.12
2019-07-22,11,11,42097.76
2019-07-23,11,11,36071.29
2019-07-24,10,10,38260.23
2019-07-25,7,7,26832.18
2019-07-26,14,14,41445.88
2019-07-27,8,8,30257.63
2019-07-28,8,8,30477.17
2019-07-29,12,12,39550.74
2019-07-30,9,9,34395.7
2019-07-31,10,10,29097.26
2019-08-01,7,7,26666.64
2019-08-02,6,6,22528.56
2019-08-03,4,4,15458.13
2019-08-04,10,10,38645.32
2019-08-05,4,4,12348.62
2019-08-06,6,6,22802.1
2019-08-07,3,3,11593.59
2019-08-08,7,7,23942.22
2019-08-09,5,5,16213.15
2019-08-10,3,3,11593.59
2019-08-11,7,7,26420.09
2019-08-12,3,3,11593.59
2019-08-13,2,2,7536.52
2019-08-14,4,4,9019.57
2019-08-15,5,5,19322.66
2019-08-16,4,4,15458.13
2019-08-17,5,5,16213.15
2019-08-18,4,4,15073.04
2019-08-19,5,5,19322.66
2019-08-20,8,8,27614.2
2019-08-21,2,2,7729.06
2019-08-22,8,8,24092.61
2019-08-23,6,6,23187.19
2019-08-24,7,7,23942.22
2019-08-25,3,3,11593.59
2019-08-26,3,3,11593.59
2019-08-27,5,5,16213.15
2019-08-28,10,10,29316.8
2019-08-29,2,2,4619.56
2019-08-30,1,1,755.03
2019-08-31,10,10,38645.32
2019-09-01,4,4,12156.08
2019-09-02,3,3,11374.05
2019-09-03,4,4,15458.13
2019-09-04,2,2,7729.06
2019-09-05,8,8,27202.12
2019-09-06,3,3,8264.55
2019-09-07,4,4,12348.62
2019-09-08,11,11,35905.75
2019-09-09,9,9,31451.74
2019-09-10,5,5,19322.66
2019-09-11,8,8,30257.63
2019-09-12,12,12,45962.29
2019-09-13,6,6,19692.6
2019-09-14,3,3,11593.59
2019-09-15,2,2,7509.52
2019-09-16,6,6,19638.6
2019-09-17,3,3,11374.05
2019-09-18,8,8,30723.71
2019-09-19,5,5,16213.15
2019-09-20,6,6,23187.19
2019-09-21,3,3,11593.59
2019-09-22,4,4,12156.08
2019-09-23,5,5,16213.15
2019-09-24,1,1,3864.53
2019-09-25,2,2,7729.06
2019-09-26,10,10,32426.3
2019-09-27,5,5,16213.15
2019-09-28,10,10,25795.21
2019-09-29,7,7,23749.67
2019-09-30,2,2,7289.98
2019-10-01,6,6,22390.02
2019-10-02,3,3,11593.59
2019-10-03,4,4,15046.04
2019-10-04,6,6,19885.14
2019-10-05,7,7,23749.67
2019-10-06,5,5,18910.57
2019-10-07,9,9,28561.77
2019-10-08,8,8,30916.25
2019-10-09,4,4,15458.13
2019-10-10,7,7,23503.13
2019-10-11,6,6,23187.19
2019-10-12,7,7,20832.71
2019-10-13,8,8,29926.54
2019-10-14,9,9,31039.65
2019-10-15,6,6,16748.64
2019-10-16,7,7,26832.18
2019-10-17,4,4,12348.62
2019-10-18,3,3,11401.05
2019-10-19,6,6,20077.68
2019-10-20,5,5,16020.61
2019-10-21,6,6,22802.1
2019-10-22,2,2,4619.56
2019-10-23,4,4,12348.62
2019-10-24,7,7,26612.64
2019-10-25,3,3,11374.05
2019-10-26,6,6,20077.68
2019-10-27,3,3,8484.09
2019-10-28,7,7,23364.59
2019-10-29,5,5,19322.66
2019-10-30,6,6,20077.68
2019-10-31,5,5,19103.12
2019-11-01,8,8,27587.2
2019-11-02,10,10,38233.23
2019-11-03,5,5,16020.61
2019-11-04,6,6,22748.1
2019-11-05,5,5,19322.66
2019-11-06,6,6,22994.65
2019-11-07,19,19,59890.37
2019-11-08,5,5,19130.12
2019-11-09,2,2,7729.06
2019-11-10,11,11,39400.34
2019-11-11,4,4,15458.13
2019-11-12,11,11,41246.59
2019-11-13,5,5,19103.12
2019-11-14,12,12,42852.79
2019-11-15,7,7,23722.67
2019-11-16,4,4,12129.08
2019-11-17,6,6,23187.19
2019-11-18,14,14,44362.84
2019-11-19,9,9,31012.65
2019-11-20,10,10,29124.26
2019-11-21,7,7,23942.22
2019-11-22,8,8,27806.75
2019-11-23,5,5,16213.15
2019-11-24,7,7,20613.17
2019-11-25,8,8,27587.2
2019-11-26,4,4,15458.13
2019-11-27,10,10,29124.26
2019-11-28,8,8,30477.17
2019-11-29,7,7,26447.09
2019-11-30,7,7,23942.22
2019-12-01,5,5,12884.1
2019-12-02,4,4,15458.13
2019-12-03,8,8,30284.63
2019-12-04,5,5,19130.12
2019-12-05,3,3,8484.09
2019-12-06,6,6,22967.65
2019-12-07,4,4,9239.12
2019-12-08,8,8,27394.66
2019-12-09,5,5,19322.66
2019-12-10,4,4,15238.58
2019-12-11,9,9,34149.16
2019-12-12,7,7,27051.72
2019-12-13,3,3,8484.09
2019-12-14,9,9,34203.16
2019-12-15,7,7,23091.05
2019-12-16,7,7,26639.64
2019-12-17,8,8,27394.66
2019-12-18,6,6,16968.18
2019-12-19,6,6,20077.68
2019-12-20,6,6,23187.19
2019-12-21,7,7,26666.64
2019-12-22,9,9,34176.16
2019-12-23,3,3,11593.59
2019-12-24,8,8,27614.2
2019-12-25,4,4,6129.61
2019-12-26,5,5,18910.57
2019-12-27,5,5,16020.61
2019-12-28,6,6,16748.64
2019-12-29,4,4,12156.08
2019-12-30,10,10,29316.8
2019-12-31,7,7,23503.13
2020-01-01,6,6,20077.68
2020-01-02,6,6,20077.68
2020-01-03,7,7,26832.18
2020-01-04,7,7,17723.2
2020-01-05,6,6,22555.56
2020-01-06,10,10,26014.75
2020-01-07,6,6,22775.1
2020-01-08,4,4,15238.58
2020-01-09,3,3,11593.59
2020-01-10,10,10,38233.23
2020-01-11,12,12,43264.87
2020-01-12,3,3,11374.05
2020-01-13,7,7,26639.64
2020-01-14,8,8,24697.24
2020-01-15,6,6,23187.19
2020-01-16,3,3,8291.55
2020-01-17,4,4,15458.13
2020-01-18,2,2,7729.06
2020-01-19,6,6,20077.68
2020-01-20,5,5,16213.15
2020-01-21,1,1,3864.53
2020-01-22,10,10,38233.23
2020-01-23,5,5,19322.66
2020-01-24,9,9,31671.28
2020-01-25,5,5,9994.14
2020-01-26,12,12,43045.33
2020-01-27,3,3,11593.59
2020-01-28,5,5,19103.12
2020-01-29,6,6,19858.14
2020-01-30,7,7,23749.67
2020-01-31,9,9,25232.73
2020-02-01,8,8,27587.2
2020-02-02,3,3,11593.59
2020-02-03,9,9,31478.74
2020-02-04,9,9,31066.65
2020-02-05,4,4,15019.04
2020-02-06,6,6,20077.68
2020-02-07,2,2,7729.06
2020-02-08,6,6,22555.56
2020-02-09,5,5,16020.61
2020-02-10,10,10,34684.64
2020-02-11,4,4,12156.08
2020-02-12,10,10,31987.22
2020-02-13,5,5,19322.66
2020-02-14,9,9,27791.6
2020-02-15,8,8,24697.24
2020-02-16,4,4,12348.62
2020-02-17,9,9,34395.7
2020-02-18,4,4,15458.13
2020-02-19,6,6,22555.56
2020-02-20,5,5,19103.12
2020-02-21,12,12,45742.75
2020-02-22,5,5,19103.12
2020-02-23,9,9,28369.23
2020-02-24,3,3,11593.59
2020-02-25,8,8,30916.25
2020-02-26,6,6,22967.65
2020-02-27,4,4,15458.13
2020-02-28,4,4,15046.04
2020-03-01,5,5,13103.65
2020-03-02,3,3,11401.05
2020-03-03,9,9,31451.74
2020-03-04,7,7,26612.64
2020-03-05,5,5,19103.12
2020-03-06,5,5,16020.61
2020-03-07,9,9,28122.69
2020-03-08,3,3,11593.59
2020-03-09,5,5,19322.66
2020-03-10,5,5,15993.61
2020-03-11,6,6,22555.56
2020-03-12,12,12,39716.28
2020-03-13,4,4,15046.04
2020-03-14,3,3,8484.09
2020-03-15,13,13,49826.83
2020-03-16,7,7,26254.55
2020-03-17,9,9,34395.7
2020-03-18,7,7,23942.22
2020-03-19,4,4,12129.08
2020-03-20,11,11,35851.75
2020-03-21,5,5,15801.07
2020-03-22,4,4,15265.58
2020-03-23,10,10,35343.27
2020-03-24,4,4,12129.08
