Item,rows_count,total_quantity,total_sales_value,avg_line_value
"Road-150 Red, 48",337,337,1302347.15,3864.53
"Road-150 Red, 62",336,336,1298482.62,3864.53
"Road-150 Red, 52",302,302,1167088.54,3864.53
"Road-150 Red, 56",295,295,1140036.82,3864.53
"Road-150 Red, 44",281,281,1085933.38,3864.53
"Mountain-200 Black, 46",425,425,1000022.23,2352.99
"Mountain-200 Black, 42",388,388,912032.31,2350.6
"Mountain-200 Silver, 46",371,371,881519.97,2376.06
"Mountain-200 Silver, 38",370,370,880356.66,2379.34
"Mountain-200 Black, 38",366,366,863080.17,2358.14
"Mountain-200 Silver, 42",359,359,854405.91,2379.96
"Road-250 Black, 52",276,276,679684.12,2462.62
"Road-250 Red, 58",256,256,626907.76,2448.86
"Road-250 Black, 48",240,240,593451.32,2472.71
"Road-250 Black, 58",226,226,555659.68,2458.67
"Road-250 Black, 44",223,223,551984.18,2475.27
"Road-250 Red, 48",162,162,427488.52,2638.82
"Road-250 Red, 44",144,144,379989.79,2638.82
"Road-250 Red, 52",133,133,350962.79,2638.82
"Mountain-100 Black, 44",60,60,218699.35,3644.99
"Mountain-100 Silver, 38",58,58,212975.37,3671.99
"Road-550-W Yellow, 44",183,183,211470.08,1155.57
"Road-550-W Yellow, 42",180,180,208876.94,1160.43
"Mountain-100 Black, 48",57,57,207764.38,3644.99
"Road-350-W Yellow, 40",110,110,202077.61,1837.07
"Road-550-W Yellow, 38",171,171,197596.81,1155.54
"Touring-1000 Blue, 46",75,75,193109.67,2574.8
"Touring-1000 Yellow, 46",74,74,190534.87,2574.8
"Touring-1000 Blue, 50",73,73,187960.08,2574.8
"Road-550-W Yellow, 48",158,158,181865.13,1151.05
"Touring-1000 Yellow, 50",70,70,180235.69,2574.8
"Road-550-W Yellow, 40",156,156,180093.16,1154.44
"Road-350-W Yellow, 48",98,98,180032.78,1837.07
"Mountain-100 Silver, 44",49,49,179927.47,3671.99
"Mountain-100 Black, 38",49,49,178604.47,3644.99
"Road-350-W Yellow, 42",96,96,176358.64,1837.07
"Touring-1000 Blue, 54",67,67,172511.31,2574.8
"Touring-1000 Yellow, 60",67,67,172511.31,2574.8
"Touring-1000 Blue, 60",66,66,169936.51,2574.8
"Touring-1000 Yellow, 54",66,66,169936.51,2574.8
"Mountain-100 Black, 42",45,45,164024.51,3644.99
"Mountain-100 Silver, 42",42,42,154223.55,3671.99
"Road-350-W Yellow, 44",81,81,148802.61,1837.07
"Mountain-100 Silver, 48",36,36,132191.61,3671.99
"Road-750 Black, 48",182,182,106140.43,583.19
"Road-750 Black, 52",181,181,105557.25,583.19
"Road-750 Black, 44",181,181,105557.25,583.19
"Road-750 Black, 58",170,170,99142.16,583.19
"Road-650 Black, 52",89,89,72271.1,812.03
"Touring-2000 Blue, 46",55,55,72162.09,1312.04
"Road-650 Red, 48",88,88,72059.69,818.86
"Touring-2000 Blue, 50",50,50,65601.9,1312.04
"Road-650 Black, 58",76,76,62636.96,824.17
"Road-650 Red, 62",75,75,61972.54,826.3
"Road-650 Black, 60",76,76,61730.93,812.25
"Road-650 Red, 58",74,74,60855.1,822.37
"Road-650 Red, 44",72,72,58892.03,817.94
"Touring-2000 Blue, 54",44,44,57729.67,1312.04
"Mountain-400-W Silver, 38",68,68,56511.35,831.05
"Road-650 Black, 62",65,65,52972.63,814.96
"Touring-2000 Blue, 60",40,40,52481.52,1312.04
"Mountain-400-W Silver, 46",62,62,51525.05,831.05
"Road-650 Black, 44",63,63,51371.97,815.43
"Mountain-400-W Silver, 40",61,61,50694.0,831.05
"Road-650 Red, 52",61,61,49771.32,815.92
"Road-650 Black, 48",60,60,49197.5,819.96
"Mountain-400-W Silver, 42",59,59,49031.9,831.05
"Road-650 Red, 60",53,53,43278.09,816.57
"Sport-100 Helmet, Red",1096,1096,41416.96,37.79
"Sport-100 Helmet, Black",1041,1041,39338.56,37.79
"Sport-100 Helmet, Blue",1015,1015,38356.04,37.79
HL Mountain Tire,702,702,26535.6,37.8
Fender Set - Mountain,1081,1081,25661.21,23.74
"Touring-3000 Blue, 44",31,31,24853.88,801.74
"Touring-3000 Blue, 50",30,30,24052.14,801.74
"Touring-3000 Blue, 58",30,30,24052.14,801.74
All-Purpose Bike Stand,135,135,23182.2,171.72
"Touring-3000 Blue, 54",28,28,22448.66,801.74
"Touring-3000 Yellow, 50",27,27,21646.93,801.74
Hydration Pack - 70 oz.,364,364,21617.67,59.39
"Touring-3000 Yellow, 54",26,26,20845.19,801.74
Hitch Rack - 4-Bike,155,155,20088.0,129.6
ML Mountain Tire,608,608,19692.63,32.39
"Touring-3000 Blue, 62",24,24,19241.71,801.74
"Touring-3000 Yellow, 44",24,24,19241.71,801.74
"Mountain-500 Black, 44",31,31,18078.87,583.19
"Touring-3000 Yellow, 62",22,22,17638.24,801.74
"Touring-3000 Yellow, 58",21,21,16836.5,801.74
HL Road Tire,470,470,16547.76,35.21
"Mountain-500 Silver, 52",27,27,16475.11,610.19
"Mountain-500 Silver, 48",27,27,16475.11,610.19
"Mountain-500 Black, 40",28,28,16329.3,583.19
"Mountain-500 Black, 42",26,26,15162.92,583.19
"Women's Mountain Shorts, M",186,186,14059.59,75.59
"Women's Mountain Shorts, L",182,182,13757.23,75.59
Touring Tire,437,437,13682.12,31.31
"Mountain-500 Silver, 42",22,22,13424.16,610.19
"Mountain-500 Black, 48",22,22,12830.16,583.19
"Short-Sleeve Classic Jersey, M",220,220,12828.02,58.31
"Long-Sleeve Logo Jersey, L",234,234,12633.47,53.99
"Short-Sleeve Classic Jersey, S",216,216,12594.79,58.31
ML Road Tire,460,460,12415.03,26.99
LL Road Tire,522,522,12115.2,23.21
"Long-Sleeve Logo Jersey, XL",217,217,11715.66,53.99
"Mountain-500 Silver, 44",19,19,11593.59,610.19
LL Mountain Tire,429,429,11578.37,26.99
Water Bottle - 30 oz.,2097,2097,11301.15,5.39
"Short-Sleeve Classic Jersey, L",193,193,11253.68,58.31
"Women's Mountain Shorts, S",146,146,11036.02,75.59
"Long-Sleeve Logo Jersey, M",202,202,10905.82,53.99
Mountain Bottle Cage,1000,1000,10789.2,10.79
"Short-Sleeve Classic Jersey, XL",185,185,10787.2,58.31
AWC Logo Cap,1063,1063,10320.88,9.71
"Long-Sleeve Logo Jersey, S",186,186,10041.99,53.99
"Mountain-500 Silver, 40",16,16,9763.03,610.19
"Mountain-500 Black, 52",16,16,9331.03,583.19
Mountain Tire Tube,1581,1581,8520.33,5.39
Road Bottle Cage,848,848,8233.4,9.71
"Half-Finger Gloves, S",258,258,6823.89,26.45
"Classic Vest, M",92,92,6309.36,68.58
"Half-Finger Gloves, M",231,231,6109.77,26.45
